City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Airai,TL,2022-10-13 21:00:48,-8.9266,125.4092,59.36,86,55,2.01,broken clouds
168,Lethem,GY,2022-10-13 21:00:49,3.3803,-59.7968,85.89,62,92,7.36,overcast clouds
169,Chern,RU,2022-10-13 21:00:49,53.4523,36.9145,39.85,71,55,5.08,broken clouds
170,Salalah,OM,2022-10-13 21:00:50,17.0151,54.0924,75.33,85,16,1.14,few clouds
171,Lasa,IT,2022-10-13 21:00:51,46.6166,10.7002,51.37,85,100,1.41,overcast clouds
172,Tasiilaq,GL,2022-10-13 21:00:52,65.6145,-37.6368,32.16,76,75,3.71,broken clouds
173,Ugoofaaru,MV,2022-10-13 21:00:52,5.6667,73.0,77.79,87,100,18.7,overcast clouds
174,Lebu,CL,2022-10-13 21:00:53,-37.6167,-73.65,50.5,61,3,19.28,clear sky
175,Conselheiro Lafaiete,BR,2022-10-13 20:58:09,-20.6603,-43.7861,74.91,37,85,9.35,overcast clouds
176,Hermanus,ZA,2022-10-13 21:00:54,-34.4187,19.2345,59.81,89,97,1.07,overcast clouds
177,Turayf,SA,2022-10-13 21:00:54,31.6725,38.6637,68.67,52,0,9.48,clear sky
178,San Policarpo,PH,2022-10-13 21:00:55,12.1791,125.5072,78.75,87,100,9.33,overcast clouds
179,Samarai,PG,2022-10-13 21:00:56,-10.6167,150.6667,80.29,80,98,4.25,overcast clouds
180,Komsomolskiy,UZ,2022-10-13 21:00:57,40.4272,71.7189,54.32,40,78,9.22,broken clouds
181,Svetlogorsk,BY,2022-10-13 21:00:57,52.6333,29.7333,48.18,61,100,3.0,overcast clouds
182,Carnarvon,AU,2022-10-13 21:00:58,-24.8667,113.6333,63.88,49,0,17.4,clear sky
183,Mangan,IN,2022-10-13 21:00:58,27.5167,88.5333,64.22,72,1,6.46,clear sky
184,Suraabad,AZ,2022-10-13 21:00:59,40.8192,49.4687,64.08,69,100,3.65,overcast clouds
185,Obregon,NI,2022-10-13 21:01:00,11.9566,-85.9636,83.91,77,85,3.13,overcast clouds
186,Manga,BF,2022-10-13 20:57:37,11.6636,-1.0731,80.47,64,86,7.09,overcast clouds
187,East London,ZA,2022-10-13 21:01:02,-33.0153,27.9116,72.25,78,89,15.57,overcast clouds
188,Borba,BR,2022-10-13 21:01:02,-4.3878,-59.5939,86.2,59,77,5.21,light rain
189,San Quintin,MX,2022-10-13 21:01:03,30.4833,-115.95,71.49,71,5,15.43,clear sky
190,Luanda,AO,2022-10-13 20:59:17,-8.8368,13.2343,77.0,83,40,12.66,scattered clouds
191,Rabo De Peixe,PT,2022-10-13 21:01:05,37.8,-25.5833,69.31,73,75,3.44,broken clouds
192,Gua Musang,MY,2022-10-13 21:01:06,4.8823,101.9644,73.76,98,99,1.12,overcast clouds
193,Mapiripan,CO,2022-10-13 21:01:07,2.8892,-72.1256,85.82,67,81,5.08,broken clouds
194,Visby,SE,2022-10-13 21:01:08,57.6409,18.296,53.06,93,100,8.05,overcast clouds
195,Rio Tuba,PH,2022-10-13 21:01:09,8.5061,117.4317,82.56,77,97,20.62,overcast clouds
196,Kaitangata,NZ,2022-10-13 20:59:45,-46.2817,169.8464,51.06,64,68,10.11,broken clouds
197,Namatanai,PG,2022-10-13 21:01:10,-3.6667,152.4333,81.19,70,80,6.29,broken clouds
198,Porto Novo,BJ,2022-10-13 21:00:34,6.4965,2.6036,77.74,83,100,4.36,overcast clouds
199,Renukut,IN,2022-10-13 21:01:11,24.2,83.0333,71.56,81,36,1.66,scattered clouds
200,Atuona,PF,2022-10-13 21:01:12,-9.8,-139.0333,77.16,80,10,18.52,light rain
201,Chara,RU,2022-10-13 21:01:13,56.9064,118.2631,30.24,75,100,3.15,overcast clouds
202,Bengkulu,ID,2022-10-13 21:01:14,-3.8004,102.2655,74.32,90,96,2.93,overcast clouds
203,Tautira,PF,2022-10-13 21:01:15,-17.7333,-149.15,77.23,78,12,6.46,few clouds
204,Novikovo,RU,2022-10-13 21:01:15,51.1537,37.8879,43.38,66,47,3.24,scattered clouds
205,Hualmay,PE,2022-10-13 21:01:17,-11.0964,-77.6139,64.33,74,21,10.85,few clouds
206,Bandarbeyla,SO,2022-10-13 21:01:17,9.4942,50.8122,77.07,87,21,8.9,few clouds
207,Cherskiy,RU,2022-10-13 21:01:18,68.75,161.3,8.49,90,100,5.82,overcast clouds
